gene_name	ensembl_gene_id
CREB1	ENSG00000118260
CREB3L1	ENSG00000157613
CREB3L2	ENSG00000182158
CREBBP	ENSG00000005339
CRLF2	ENSG00000205755
CRNKL1	ENSG00000101343
CRTC1	ENSG00000105662
CRTC3	ENSG00000140577
CSDE1	ENSG00000009307
CSF1	ENSG00000184371
CSF1R	ENSG00000182578
CSF3R	ENSG00000119535
CSMD1	ENSG00000183117
CSMD3	ENSG00000164796
CSNK1A1	ENSG00000113712
CSNK1G3	ENSG00000151292
CSNK2A1	ENSG00000101266
CTCF	ENSG00000102974
CTNNA1	ENSG00000044115
CTNNA2	ENSG00000066032
CTNNB1	ENSG00000168036
CTNND1	ENSG00000198561
CTNND2	ENSG00000169862
CTTN	ENSG00000085733
CUL1	ENSG00000055130
CUL2	ENSG00000108094
CUL3	ENSG00000036257
CUL4A	ENSG00000139842
CUX1	ENSG00000257923
CXCR4	ENSG00000121966
CYLD	ENSG00000083799
CYP2C8	ENSG00000138115
CYSLTR2	ENSG00000152207
CYTH4	ENSG00000100055
DAXX	ENSG00000204209
DCAF12L2	ENSG00000198354
DCC	ENSG00000187323
DCTN1	ENSG00000204843
DDB1	ENSG00000167986
DDB2	ENSG00000134574
DDIT3	ENSG00000175197
DDR2	ENSG00000162733
DDX10	ENSG00000178105
DDX3X	ENSG00000215301
DDX5	ENSG00000108654
DDX6	ENSG00000110367
DEK	ENSG00000124795
DEPDC1B	ENSG00000035499
DEPDC5	ENSG00000100150
DGCR8	ENSG00000128191
DHX15	ENSG00000109606
DHX35	ENSG00000101452
DHX9	ENSG00000135829
DIAPH2	ENSG00000147202
DICER1	ENSG00000100697
DIS3	ENSG00000083520
DLC1	ENSG00000164741
DLG1	ENSG00000075711
DLG2	ENSG00000150672
DMC1	ENSG00000100206
DMD	ENSG00000198947
DNAJB1	ENSG00000132002
DNM2	ENSG00000079805
DNMT3A	ENSG00000119772
DOCK8	ENSG00000107099
DPYD	ENSG00000188641
DROSHA	ENSG00000113360
DUX4L7	ENSG00000281652
EBF1	ENSG00000164330
ECT2L	ENSG00000203734
EED	ENSG00000074266
EEF1A1	ENSG00000156508
EEF1B2	ENSG00000114942
EFTUD2	ENSG00000108883
EGFR	ENSG00000146648
EIF1AX	ENSG00000173674
EIF2AK3	ENSG00000172071
EIF3E	ENSG00000104408
EIF4A2	ENSG00000156976
EIF4G1	ENSG00000114867
EIF4G3	ENSG00000075151
ELF1	ENSG00000120690
ELF3	ENSG00000163435
ELF4	ENSG00000102034
ELK4	ENSG00000158711
ELL	ENSG00000105656
ELN	ENSG00000049540
EME1	ENSG00000154920
EME2	ENSG00000197774
EML4	ENSG00000143924
EP300	ENSG00000100393
EPAS1	ENSG00000116016
EPHA1	ENSG00000146904
EPHA2	ENSG00000142627
EPHA3	ENSG00000044524
EPHA4	ENSG00000116106
EPHA7	ENSG00000135333
EPHB2	ENSG00000133216
EPS15	ENSG00000085832
ERBB2	ENSG00000141736
ERBB2IP	ENSG00000112851
ERBB3	ENSG00000065361
ERBB4	ENSG00000178568
ERC1	ENSG00000082805
ERCC1	ENSG00000012061
ERCC2	ENSG00000104884
ERCC3	ENSG00000163161
ERCC4	ENSG00000175595
ERCC5	ENSG00000134899
ERCC6	ENSG00000225830
ERF	ENSG00000105722
ERG	ENSG00000157554
ESR1	ENSG00000091831
ETNK1	ENSG00000139163
ETS2	ENSG00000157557
ETV1	ENSG00000006468
ETV4	ENSG00000175832
ETV5	ENSG00000244405
ETV6	ENSG00000139083
EWSR1	ENSG00000182944
EXT1	ENSG00000182197
EXT2	ENSG00000151348
EYS	ENSG00000188107
EZH2	ENSG00000106462
EZR	ENSG00000092820
F8	ENSG00000185010
FAF1	ENSG00000185104
FAM131B	ENSG00000159784
FAM135B	ENSG00000147724
FAM175A	ENSG00000163322
FAM46C	ENSG00000183508
FAM47C	ENSG00000198173
FAN1	ENSG00000198690
FANCA	ENSG00000187741
FANCB	ENSG00000181544
FANCC	ENSG00000158169
FANCD2	ENSG00000144554
FANCE	ENSG00000112039
FANCF	ENSG00000183161
FANCG	ENSG00000221829
FANCI	ENSG00000140525
FANCL	ENSG00000115392
FANCM	ENSG00000187790
FAS	ENSG00000026103
FAT1	ENSG00000083857
FAT2	ENSG00000086570
FAT3	ENSG00000165323
FAT4	ENSG00000196159
FBLN2	ENSG00000163520
FBXL17	ENSG00000145743
FBXO11	ENSG00000138081
FBXW7	ENSG00000109670
FCGR2B	ENSG00000072694
FCRL4	ENSG00000163518
FEN1	ENSG00000168496
FES	ENSG00000182511
FEV	ENSG00000163497
FGF3	ENSG00000186895
FGF4	ENSG00000075388
FGFR1	ENSG00000077782
FGFR1OP	ENSG00000213066
FGFR2	ENSG00000066468
FGFR3	ENSG00000068078
FGFR4	ENSG00000160867
FH	ENSG00000091483
FHIT	ENSG00000189283
FIP1L1	ENSG00000145216
FKBP5	ENSG00000096060
FKBP9	ENSG00000122642
FLCN	ENSG00000154803
FLI1	ENSG00000151702
FLNA	ENSG00000196924
FLT1	ENSG00000102755
FLT3	ENSG00000122025
FLT4	ENSG00000037280
FMR1	ENSG00000102081
FN1	ENSG00000115414
FNBP1	ENSG00000187239
FNTB	ENSG00000257365
FOXA1	ENSG00000129514
FOXA2	ENSG00000125798
FOXL2	ENSG00000183770
FOXO1	ENSG00000150907
FOXO3	ENSG00000118689
FOXO4	ENSG00000184481
FOXP1	ENSG00000114861
FOXQ1	ENSG00000164379
FOXR1	ENSG00000176302
FRG1	ENSG00000109536
FRG1B	ENSG00000149531
FRS2	ENSG00000166225
FSTL3	ENSG00000070404
FUBP1	ENSG00000162613
FUS	ENSG00000089280
FXR1	ENSG00000114416
G3BP1	ENSG00000145907
G3BP2	ENSG00000138757
G6PD	ENSG00000160211
GAGE12J	ENSG00000224659
GAS7	ENSG00000007237
GATA1	ENSG00000102145
GATA2	ENSG00000179348
GATA3	ENSG00000107485
GATA6	ENSG00000141448
GEN1	ENSG00000178295
GJB2	ENSG00000165474
GLI1	ENSG00000111087
GMDS	ENSG00000112699
GMPS	ENSG00000163655
GNA11	ENSG00000088256
GNA13	ENSG00000120063
GNAI1	ENSG00000127955
GNAI2	ENSG00000114353
GNAQ	ENSG00000156052
GNAS	ENSG00000087460
GNG2	ENSG00000186469
GOLGA5	ENSG00000066455
GOPC	ENSG00000047932
GPC3	ENSG00000147257
GPC5	ENSG00000179399
GPHN	ENSG00000171723
GPS2	ENSG00000132522
GPSM2	ENSG00000121957
GRIN2A	ENSG00000183454
GRM3	ENSG00000198822
GSK3B	ENSG00000082701
GSTP1	ENSG00000084207
GTF2F2	ENSG00000188342
GTF2I	ENSG00000263001
H3F3A	ENSG00000163041
H3F3B	ENSG00000132475
HCFC1	ENSG00000172534
HDAC2	ENSG00000196591
HDAC3	ENSG00000171720
HDAC9	ENSG00000048052
HDHD1	ENSG00000130021
HERC2	ENSG00000128731
HERPUD1	ENSG00000051108
HES1	ENSG00000114315
HEY1	ENSG00000164683
HGF	ENSG00000019991
HIC2	ENSG00000169635
HIF1A	ENSG00000100644
HIP1	ENSG00000127946
HIST1H1C	ENSG00000187837
HIST1H3B	ENSG00000286522
HIST1H3D	ENSG00000197409
HIST1H3J	ENSG00000197153
HIST2H3D	ENSG00000183598
HLA-A	ENSG00000206503
HLA-B	ENSG00000234745
HLA-C	ENSG00000204525
HLF	ENSG00000108924
HMGA1	ENSG00000137309
HMGA2	ENSG00000149948
HNF1A	ENSG00000135100
HNRNPA2B1	ENSG00000122566
HNRNPDL	ENSG00000152795
HOOK3	ENSG00000168172
HOXA11	ENSG00000005073
HOXA13	ENSG00000106031
HOXA9	ENSG00000078399
HOXC11	ENSG00000123388
HOXC13	ENSG00000123364
HOXD11	ENSG00000128713
HOXD13	ENSG00000128714
HRAS	ENSG00000174775
HSP90AA1	ENSG00000080824
HSP90AB1	ENSG00000096384
HSPA8	ENSG00000109971
ID3	ENSG00000117318
IDH1	ENSG00000138413
IDH2	ENSG00000182054
IGF1R	ENSG00000140443
IGF2BP2	ENSG00000073792
IGF2R	ENSG00000197081
IGLL5	ENSG00000254709
IKBKB	ENSG00000104365
IKZF1	ENSG00000185811
IKZF3	ENSG00000161405
IL1RAPL1	ENSG00000169306
IL2	ENSG00000109471
IL21R	ENSG00000103522
IL6ST	ENSG00000134352
IL7R	ENSG00000168685
IMMP2L	ENSG00000184903
ING1	ENSG00000153487
ING2	ENSG00000168556
INHBA	ENSG00000122641
INPP4A	ENSG00000040933
INPP4B	ENSG00000109452
INPPL1	ENSG00000165458
IREB2	ENSG00000136381
IRF1	ENSG00000125347
IRF2	ENSG00000168310
IRF4	ENSG00000137265
IRF6	ENSG00000117595
IRF7	ENSG00000185507
IRF8	ENSG00000140968
IRS2	ENSG00000185950
IRS4	ENSG00000133124
ISX	ENSG00000175329
ITGA9	ENSG00000144668
ITGAV	ENSG00000138448
ITK	ENSG00000113263
ITSN1	ENSG00000205726
JAGN1	ENSG00000171135
JAK1	ENSG00000162434
JAK2	ENSG00000096968
JAK3	ENSG00000105639
JAZF1	ENSG00000153814
JMJD4	ENSG00000081692
JMY	ENSG00000152409
JUN	ENSG00000177606
KANSL1	ENSG00000120071
KAT6A	ENSG00000083168
KAT6B	ENSG00000156650
KAT7	ENSG00000136504
KAT8	ENSG00000103510
KCNJ5	ENSG00000120457
KDM1A	ENSG00000004487
KDM5A	ENSG00000073614
KDM5C	ENSG00000126012
KDM6A	ENSG00000147050
KDR	ENSG00000128052
KDSR	ENSG00000119537
KEAP1	ENSG00000079999
KIAA1549	ENSG00000122778
KIAA1598	ENSG00000187164
KIF5B	ENSG00000170759
KIT	ENSG00000157404
KLF4	ENSG00000136826
KLF5	ENSG00000102554
KLF6	ENSG00000067082
KLK2	ENSG00000167751
KMT2A	ENSG00000118058
KMT2B	ENSG00000272333
KMT2C	ENSG00000055609
KMT2D	ENSG00000167548
KNSTRN	ENSG00000128944
KRAS	ENSG00000133703
KRT5	ENSG00000186081
KRTAP5-5	ENSG00000185940
KTN1	ENSG00000126777
LARP4B	ENSG00000107929
LASP1	ENSG00000002834
LATS1	ENSG00000131023
LATS2	ENSG00000150457
LCK	ENSG00000182866
LCP1	ENSG00000136167
LDHA	ENSG00000134333
LEF1	ENSG00000138795
LEP	ENSG00000174697
LEPROTL1	ENSG00000104660
LHFP	ENSG00000183722
LIFR	ENSG00000113594
LIMA1	ENSG00000050405
LINC00290	ENSG00000248197
LINC01001	ENSG00000230724
LMBRD2	ENSG00000164187
LMNA	ENSG00000160789
LMO1	ENSG00000166407
LMO2	ENSG00000135363
LNPEP	ENSG00000113441
LPP	ENSG00000145012
LRIG3	ENSG00000139263
LRP1B	ENSG00000168702
LRP6	ENSG00000070018
LRPPRC	ENSG00000138095
LRRN3	ENSG00000173114
LSAMP	ENSG00000185565
LSM14A	ENSG00000257103
LYL1	ENSG00000104903
LZTR1	ENSG00000099949
LZTS1	ENSG00000061337
MACC1	ENSG00000183742
MACF1	ENSG00000127603
MACROD2	ENSG00000172264
MAD1L1	ENSG00000002822
MAF	ENSG00000178573
MAFB	ENSG00000204103
MAGI2	ENSG00000187391
MALT1	ENSG00000172175
MAML2	ENSG00000184384
MAP2K1	ENSG00000169032
MAP2K2	ENSG00000126934
MAP2K4	ENSG00000065559
MAP2K7	ENSG00000076984
MAP3K1	ENSG00000095015
MAP3K11	ENSG00000173327
MAP3K13	ENSG00000073803
MAP3K4	ENSG00000085511
MAP4K1	ENSG00000104814
MAP4K3	ENSG00000011566
MAPK1	ENSG00000100030
MARK2	ENSG00000072518
MAT2A	ENSG00000168906
MAX	ENSG00000125952
MB21D2	ENSG00000180611
MCC	ENSG00000171444
MCL1	ENSG00000143384
MCM3	ENSG00000112118
MCM8	ENSG00000125885
MDM2	ENSG00000135679
MDM4	ENSG00000198625
MECOM	ENSG00000085276
MED12	ENSG00000184634
MED17	ENSG00000042429
MED23	ENSG00000112282
MED24	ENSG00000008838
MEF2C	ENSG00000081189
MEGF6	ENSG00000162591
MEN1	ENSG00000133895
MET	ENSG00000105976
MFNG	ENSG00000100060
MGA	ENSG00000174197
MGMT	ENSG00000170430
MIPOL1	ENSG00000151338
MITF	ENSG00000187098
MKL1	ENSG00000196588
MLF1	ENSG00000178053
MLH1	ENSG00000076242
MLH3	ENSG00000119684
MLK4	ENSG00000143674
MLLT1	ENSG00000130382
MLLT10	ENSG00000078403
MLLT11	ENSG00000213190
MLLT3	ENSG00000171843
MLLT4	ENSG00000130396
MMP2	ENSG00000087245
MN1	ENSG00000169184
MNDA	ENSG00000163563
MNX1	ENSG00000130675
MPL	ENSG00000117400
MRE11A	ENSG00000020922
MSH2	ENSG00000095002
MSH3	ENSG00000113318
MSH6	ENSG00000116062
MSI2	ENSG00000153944
MSN	ENSG00000147065
MSR1	ENSG00000038945
MST1R	ENSG00000164078
MTCP1	ENSG00000214827
MTHFR	ENSG00000177000
MTOR	ENSG00000198793
MUC1	ENSG00000185499
MUC16	ENSG00000181143
MUC20	ENSG00000176945
MUC4	ENSG00000145113
MUC6	ENSG00000184956
MUS81	ENSG00000172732
MUTYH	ENSG00000132781
MYB	ENSG00000118513
MYC	ENSG00000136997
MYCL	ENSG00000116990
MYCN	ENSG00000134323
MYD88	ENSG00000172936
MYH10	ENSG00000133026
MYH11	ENSG00000133392
MYH14	ENSG00000105357
MYH9	ENSG00000100345
MYO5A	ENSG00000197535
MYOD1	ENSG00000129152
N4BP2	ENSG00000078177
NAALADL2	ENSG00000177694
NAB2	ENSG00000166886
NACA	ENSG00000196531
NAP1L1	ENSG00000187109
NBEA	ENSG00000172915
NBN	ENSG00000104320
NCF2	ENSG00000116701
NCK1	ENSG00000158092
NCKAP1	ENSG00000061676
NCKIPSD	ENSG00000213672
NCOA1	ENSG00000084676
NCOA2	ENSG00000140396
NCOR1	ENSG00000141027
NCOR2	ENSG00000196498
NDRG1	ENSG00000104419
NEDD4L	ENSG00000049759
NEGR1	ENSG00000172260
NF1	ENSG00000196712
NF2	ENSG00000186575
NFATC2	ENSG00000101096
NFATC4	ENSG00000100968
NFE2L2	ENSG00000116044
NFIB	ENSG00000147862
NFKB2	ENSG00000077150
NFKBIE	ENSG00000146232
NIN	ENSG00000100503
NIPBL	ENSG00000164190
NKX2-1	ENSG00000136352
NKX3-1	ENSG00000167034
NONO	ENSG00000147140
NOTCH1	ENSG00000148400
NOTCH2	ENSG00000134250
NPM1	ENSG00000181163
NR2F2	ENSG00000185551
NR4A2	ENSG00000153234
NR4A3	ENSG00000119508
NRAS	ENSG00000213281
NRG1	ENSG00000157168
NSD1	ENSG00000165671
NT5C2	ENSG00000076685
NTHL1	ENSG00000065057
NTN4	ENSG00000074527
NTRK1	ENSG00000198400
NTRK2	ENSG00000148053
NTRK3	ENSG00000140538
NUMA1	ENSG00000137497
NUP107	ENSG00000111581
NUP214	ENSG00000126883
NUP93	ENSG00000102900
NUP98	ENSG00000110713
NUTM1	ENSG00000184507
NUTM2B	ENSG00000188199
NUTM2D	ENSG00000214562
OGG1	ENSG00000114026
OLIG2	ENSG00000205927
OMD	ENSG00000127083
OPCML	ENSG00000183715
OR11H1	ENSG00000130538
OR4A5	ENSG00000221840
OR4F21	ENSG00000176269
OR4N2	ENSG00000176294
P2RY8	ENSG00000182162
PABPC1	ENSG00000070756
PABPC3	ENSG00000151846
PAFAH1B2	ENSG00000168092
PAK1	ENSG00000149269
PALB2	ENSG00000083093
PARD3	ENSG00000148498
PARD3B	ENSG00000116117
PARD6G	ENSG00000178184
PARK2	ENSG00000185345
PATZ1	ENSG00000100105
PAX3	ENSG00000135903
PAX5	ENSG00000196092
PAX7	ENSG00000009709
PAX8	ENSG00000125618
PBRM1	ENSG00000163939
PBX1	ENSG00000185630
PCBP1	ENSG00000169564
PCM1	ENSG00000078674
PCSK6	ENSG00000140479
PDCD1LG2	ENSG00000197646
PDE4D	ENSG00000113448
PDE4DIP	ENSG00000178104
PDGFB	ENSG00000100311
PDGFRA	ENSG00000134853
PDGFRB	ENSG00000113721
PDGFRL	ENSG00000104213
PDPK1	ENSG00000140992
PDYN	ENSG00000101327
PER1	ENSG00000179094
PGR	ENSG00000082175
PHF6	ENSG00000156531
PHOX2B	ENSG00000109132
PICALM	ENSG00000073921
PIK3C2B	ENSG00000133056
PIK3CA	ENSG00000121879
PIK3CB	ENSG00000051382
PIK3CD	ENSG00000171608
PIK3R1	ENSG00000145675
PIK3R2	ENSG00000105647
PIK3R3	ENSG00000117461
PIK3R4	ENSG00000196455
PIM1	ENSG00000137193
PIP5K1A	ENSG00000143398
PLAG1	ENSG00000181690
PLCG1	ENSG00000124181
PLCG2	ENSG00000197943
PLXNA1	ENSG00000114554
PLXNB2	ENSG00000196576
PML	ENSG00000140464
PMS1	ENSG00000064933
PMS2	ENSG00000122512
POLD1	ENSG00000062822
POLE	ENSG00000177084
POLG	ENSG00000140521
POLQ	ENSG00000051341
POLR2B	ENSG00000047315
POM121	ENSG00000196313
POT1	ENSG00000128513
POU2AF1	ENSG00000110777
POU5F1	ENSG00000204531
PPARG	ENSG00000132170
PPFIBP1	ENSG00000110841
PPM1D	ENSG00000170836
PPP1R15A	ENSG00000087074
PPP2R1A	ENSG00000105568
PPP2R2A	ENSG00000221914
PPP2R3B	ENSG00000167393
PPP2R5A	ENSG00000066027
PPP2R5C	ENSG00000078304
PPP6C	ENSG00000119414
PRCC	ENSG00000143294
PRDM1	ENSG00000057657
PRDM16	ENSG00000142611
PRDM2	ENSG00000116731
PREX2	ENSG00000046889
PRF1	ENSG00000180644
PRKAA1	ENSG00000132356
PRKACA	ENSG00000072062
PRKAR1A	ENSG00000108946
PRKCB	ENSG00000166501
PRKCZ	ENSG00000067606
PRPF40B	ENSG00000110844
PRPF8	ENSG00000174231
PRRX1	ENSG00000116132
PSIP1	ENSG00000164985
PSMA2	ENSG00000106588
PSMA6	ENSG00000100902
PSMB4	ENSG00000159377
PSMB5	ENSG00000100804
PSMD11	ENSG00000108671
PSME3	ENSG00000131467
PSMG1	ENSG00000183527
PSMG2	ENSG00000128789
PTCH1	ENSG00000185920
PTEN	ENSG00000171862
PTGS1	ENSG00000095303
PTK6	ENSG00000101213
PTPN11	ENSG00000179295
PTPN12	ENSG00000127947
PTPN13	ENSG00000163629
PTPN6	ENSG00000111679
PTPRB	ENSG00000127329
PTPRC	ENSG00000081237
PTPRD	ENSG00000153707
PTPRF	ENSG00000142949
PTPRJ	ENSG00000149177
PTPRK	ENSG00000152894
PTPRN2	ENSG00000155093
PTPRT	ENSG00000196090
PTPRU	ENSG00000060656
PWWP2A	ENSG00000170234
QKI	ENSG00000112531
RABEP1	ENSG00000029725
RAC1	ENSG00000136238
RAD17	ENSG00000152942
RAD21	ENSG00000164754
RAD23B	ENSG00000119318
RAD50	ENSG00000113522
RAD51	ENSG00000051180
RAD51B	ENSG00000182185
RAD51C	ENSG00000108384
RAD51D	ENSG00000185379
RAD52	ENSG00000002016
RAD54B	ENSG00000197275
RAD54L	ENSG00000085999
RAF1	ENSG00000132155
RALGDS	ENSG00000160271
RANBP2	ENSG00000153201
RAP1GDS1	ENSG00000138698
RARA	ENSG00000131759
RARG	ENSG00000172819
RASA1	ENSG00000145715
RASA2	ENSG00000155903
RASGRP1	ENSG00000172575
RB1	ENSG00000139687
RBBP7	ENSG00000102054
RBBP8	ENSG00000101773
RBM10	ENSG00000182872
RBM15	ENSG00000162775
RBM5	ENSG00000003756
RBX1	ENSG00000100387
RECQL4	ENSG00000160957
REL	ENSG00000162924
RET	ENSG00000165731
RFC4	ENSG00000163918
RFWD3	ENSG00000168411
RGPD3	ENSG00000153165
RGS3	ENSG00000138835
RGS7	ENSG00000182901
RHEB	ENSG00000106615
RHOA	ENSG00000067560
RHOB	ENSG00000143878
RHOH	ENSG00000168421
RHOT1	ENSG00000126858
RICTOR	ENSG00000164327
RMI2	ENSG00000175643
RNF111	ENSG00000157450
RNF213	ENSG00000173821
RNF43	ENSG00000108375
RNF6	ENSG00000127870
ROBO2	ENSG00000185008
ROS1	ENSG00000047936
RP11-417J8.3	ENSG00000230880
RPA1	ENSG00000132383
RPA2	ENSG00000117748
RPGR	ENSG00000156313
RPL10	ENSG00000147403
RPL22	ENSG00000116251
RPL5	ENSG00000122406
RPN1	ENSG00000163902
RPS6KA3	ENSG00000177189
RPSAP56	ENSG00000225178
RQCD1	ENSG00000144580
RRAS2	ENSG00000133818
RSF1	ENSG00000048649
RSPO2	ENSG00000147655
RSPO3	ENSG00000146374
RTN4	ENSG00000115310
RUNX1	ENSG00000159216
RUNX1T1	ENSG00000079102
RUNX3	ENSG00000020633
RXRA	ENSG00000186350
RYR1	ENSG00000196218
